iter	Passed	Remaining
743	3473	1195
744	3475	1189
745	3482	1185
746	3487	1181
747	3490	1175
748	3493	1170
749	3496	1165
750	3499	1160
751	3506	1156
752	3510	1151
753	3517	1147
754	3520	1142
755	3523	1137
756	3526	1132
757	3533	1128
758	3537	1123
759	3540	1118
760	3542	1112
761	3547	1107
762	3552	1103
763	3554	1097
764	3556	1092
765	3559	1087
766	3565	1083
767	3567	1077
768	3570	1072
769	3573	1067
770	3576	1062
771	3582	1058
772	3590	1054
773	3592	1049
774	3594	1043
775	3599	1038
776	3602	1033
777	3606	1029
778	3610	1024
779	3613	1019
780	3615	1013
781	3617	1008
782	3624	1004
783	3629	999
784	3631	994
785	3634	989
786	3639	984
787	3641	979
788	3643	974
789	3646	969
790	3650	964
791	3652	959
792	3653	953
793	3655	948
794	3659	943
795	3661	938
796	3663	933
797	3666	927
798	3668	922
799	3670	917
800	3674	912
801	3677	907
802	3681	903
803	3683	898
804	3686	893
805	3690	888
806	3692	883
807	3695	878
808	3698	873
809	3702	868
810	3704	863
811	3707	858
812	3710	853
813	3713	848
814	3714	843
815	3719	838
816	3723	834
817	3729	829
818	3731	824
819	3735	819
820	3738	815
821	3748	811
822	3754	807
823	3756	802
824	3759	797
825	3763	792
826	3766	787
827	3770	783
828	3773	778
829	3776	773
830	3778	768
831	3782	763
832	3785	758
833	3788	754
834	3791	749
835	3793	744
836	3795	739
837	3798	734
838	3800	729
839	3806	724
840	3813	721
841	3816	716
842	3820	711
843	3822	706
844	3831	702
845	3833	697
846	3841	693
847	3844	689
848	3848	684
849	3854	680
850	3860	676
851	3863	671
852	3865	666
853	3867	661
854	3870	656
855	3878	652
856	3882	647
857	3886	643
858	3889	638
859	3891	633
860	3894	628
861	3897	623
862	3899	619
863	3904	614
864	3907	609
865	3911	605
866	3914	600
867	3917	595
868	3922	591
869	3925	586
870	3928	581
871	3934	577
872	3936	572
873	3938	567
874	3941	563
875	3944	558
876	3947	553
877	3950	548
878	3953	544
879	3956	539
880	3959	534
881	3961	530
882	3963	525
883	3965	520
884	3967	515
885	3969	510
886	3972	506
887	3973	501
888	3975	496
889	3977	491
890	3979	486
891	3983	482
892	3987	477
893	3989	473
894	3991	468
895	3995	463
896	3998	459
897	4000	454
898	4002	449
899	4005	445
900	4008	440
901	4010	435
902	4013	431
903	4016	426
904	4019	421
905	4022	417
906	4024	412
907	4026	407
908	4028	403
909	4034	399
910	4039	394
911	4043	390
912	4048	385
913	4050	381
914	4052	376
915	4054	371
916	4059	367
917	4062	362
918	4065	358
919	4068	353
920	4070	349
921	4072	344
922	4075	339
923	4082	335
924	4086	331
925	4093	327
926	4095	322
927	4098	317
928	4100	313
929	4102	308
930	4107	304
931	4109	299
932	4117	295
933	4120	291
934	4123	286
935	4125	282
936	4128	277
937	4131	273
938	4146	269
939	4149	264
940	4151	260
941	4154	255
942	4161	251
943	4163	246
944	4168	242
945	4172	238
946	4174	233
947	4176	229
948	4178	224
949	4185	220
950	4187	215
951	4189	211
952	4191	206
953	4197	202
954	4201	197
955	4203	193
956	4209	189
957	4211	184
958	4213	180
959	4215	175
960	4217	171
961	4222	166
962	4227	162
963	4229	157
964	4237	153
965	4239	149
966	4240	144
967	4242	140
968	4245	135
969	4249	131
970	4252	126
971	4254	122
972	4258	118
973	4260	113
974	4263	109
975	4265	104
976	4267	100
977	4270	96
978	4273	91
979	4275	87
980	4277	82
981	4280	78
982	4281	74
983	4283	69
984	4285	65
985	4287	60
986	4289	56
987	4291	52
988	4293	47
989	4296	43
990	4300	39
991	4304	34
992	4309	30
993	4311	26
994	4315	21
995	4318	17
996	4322	13
997	4327	8
998	4330	4
999	4334	0
